City 1,State 1,,,Team,Conference,latitude,longitude,,,,
Nashville,Tennesse,,,Titans,AFC,36.2,-86.771289,,,,
East Rutherford,New Jersey,,,Giants,NFC,40.812194,-74.076983,,,,
Pittsburgh,Pennsylvania,,,Steelers,AFC,40.446786,-80.015761,,,,
Charlotte,North Carolina,,,Panthers,NFC,35.225808,-80.852861,,,,
Baltimore,Maryland,,,Ravens,AFC,39.277969,-76.622767,,,,
Tampa,Florida,,,Buccaneers,NFC,27.975967,-82.50335,,,,
Indianapolis,Indiana,,,Colts,AFC,39.760056,-86.163806,,,,
Minneapolis,Minnesota,,,Vikings,NFC,44.973881,-93.258094,,,,
Phoenix,Arizona,,,Cardinals,NFC,33.5277,-112.262608,,,,
Dallas,Texas,,,Cowboys,NFC,32.747778,-97.092778,,,,
Atlanta,Georgia,,,Falcons,NFC,33.757614,-84.400972,,,,
East Rutherford,New Jersey,,,Jets,AFC,40.812194,-74.076983,,,,
Denver,Colorado,,,Broncos,AFC,39.743936,-105.020097,,,,
Miami,Florida,,,Dolphins,AFC,25.957919,-80.238842,,,,
Philidelphia,Pennsylvania,,,Eagles,NFC,39.900775,-75.167453,,,,
Chicago,Illinois,,,Bears,NFC,41.862306,-87.616672,,,,
Foxborough,Massachusetts,,,Patriots,AFC,42.090925,-71.26435,,,,
Summerfield CDP,Maryland,,,Redskins,NFC,38.907697,-76.864517,,,,
Green Bay,Wisconsin,,,Packers,NFC,44.501306,-88.062167,,,,
San Diego,California,Carson,Californina,Chargers,AFC,32.783117,-117.119525,*moved for 2017 season,,,
New Orleans,Louisiana,,,Saints,NFC,29.950931,-90.081364,,,,
Houston,Texas,,,Texans,AFC,29.684781,-95.410956,,,,
Buffalo,New York,,,Bills,AFC,42.773739,-78.786978,,,,
Santa Clara,,,,49ers,NFC,37.713486,-122.386256,,,,
,,,,Jaguars,AFC,30.323925,-81.637356,,,,
,,,,Browns,AFC,41.506022,-81.699564,,,,
,,,,Raiders,AFC,37.751411,-122.200889,,,,
,,,,Chiefs,AFC,39.048914,-94.484039,,,,
,,,,Rams,NFC,38.632975,-90.188547,,,,
Seattle,Washington,,,Seahawks,NFC,47.595153,-122.331625,,,,
,,,,Bengals,AFC,39.095442,-84.516039,,,,
,,,,Lions,NFC,42.340156,-83.045808,,,,
